round,colour,opponent,result,termination,init_s,moves,time_used_s,slowest_s,fastest_s,average_s,clock_left_s,machine,finished_at
Rated 44,Black,darKnight,Loss,Checkmate,0.5,25,50.6,6.6,0.7,2.0,81.9,w-03daa0,2026-09-06T20:21:00.001595+00:00
Rated 43,White,blundered my queen 💔,Loss,Checkmate,0.6,37,74.6,4.8,0.6,2.0,63.9,w-3535e1,2026-09-06T19:18:54.474334+00:00
Rated 42,Black,Magnus CarlSON 😭,Win,Checkmate,0.5,27,59.1,6.7,0.7,2.2,74.4,w-d354c5,2026-09-06T18:21:29.316383+00:00
Rated 41,White,Martin,Win,Checkmate,0.6,37,70.1,5.0,0.8,1.9,68.4,w-d88909,2026-09-06T17:26:11.14161+00:00
Rated 40,Black,ACESOFSPADES,Win,Checkmate,0.5,62,100.7,7.6,0.4,1.6,50.3,w-5d6f85,2026-09-06T16:30:12.485341+00:00
Rated 39,Black,Ablation,Loss,Checkmate,0.5,21,47.3,5.1,1.0,2.3,83.2,w-efd8bb,2026-09-06T15:25:19.287841+00:00
Rated 38,Black,Dio,Loss,Checkmate,0.6,28,60.7,6.0,0.7,2.2,73.3,w-42b8f8,2026-09-06T14:24:51.163324+00:00
Rated 37,White,OpenAnand,Win,Checkmate,0.5,42,76.1,5.4,0.6,1.8,64.9,w-6272d4,2026-09-06T13:27:26.989521+00:00
Rated 36,Black,Alpha Knights,Loss,Checkmate,0.5,34,64.5,6.0,0.6,1.9,72.5,w-5d6f85,2026-09-06T12:23:34.723159+00:00
Rated 35,Black,Prophylaxis,Win,Checkmate,0.5,23,49.2,5.5,0.8,2.1,82.3,w-0755a4,2026-09-06T11:25:53.369375+00:00
Rated 34,White,Neophyte Doge,Draw,Threefold repetition,0.5,17,36.3,5.1,0.9,2.1,92.2,w-42b8f8,2026-09-06T10:27:53.594412+00:00
Rated 33,Black,persidian,Win,Checkmate,0.4,42,84.9,5.0,0.5,2.0,56.1,w-7793b4,2026-09-06T09:16:49.910745+00:00
Rated 32,White,Sunfish,Loss,Checkmate,0.5,36,68.0,5.6,0.6,1.9,70.0,w-ec769b,2026-09-06T08:24:20.395022+00:00
Rated 31,White,Team2,Win,Checkmate,0.5,41,71.6,5.3,0.5,1.7,68.9,w-7793b4,2026-09-06T07:27:24.428548+00:00
Rated 30,Black,En Passant,Win,Checkmate,0.6,52,91.5,5.5,0.6,1.8,54.5,w-682c3a,2026-09-05T21:26:23.60093+00:00
Rated 29,White,Snake,Win,Checkmate,0.5,30,60.0,4.8,0.6,2.0,75.0,w-6c1e7e,2026-09-05T20:28:39.715386+00:00
Rated 28,White,Carro-Kans,Loss,Checkmate,0.5,46,78.5,5.6,0.5,1.7,64.5,w-5ff11d,2026-09-05T19:26:05.016546+00:00
Rated 27,Black,AlphaGambit,Loss,Checkmate,0.5,23,49.0,5.3,0.6,2.1,82.5,w-998ebe,2026-09-05T18:22:49.828355+00:00
Rated 26,White,How does the knight move?,Loss,Checkmate,0.5,62,91.5,5.4,0.4,1.5,59.5,w-682c3a,2026-09-05T17:22:40.14529+00:00
Rated 25,White,CCC,Void,Unterminated,0.5,41,72.7,4.8,0.0,1.8,67.8,w-94f091,2026-09-05T16:21:33.717887+00:00
Rated 24,Black,OatMilk,Loss,Checkmate,0.5,32,55.1,6.0,0.5,1.7,80.9,w-9d34f8,2026-09-05T15:20:44.822204+00:00
Rated 23,Black,Cheeky,Win,Checkmate,0.5,36,72.8,4.6,0.6,2.0,65.2,w-ea5cae,2026-09-05T14:20:39.792602+00:00
Rated 22,White,Martin,Win,Checkmate,0.6,63,106.7,4.7,0.4,1.7,44.8,w-a530fa,2026-09-05T13:24:53.383946+00:00
Rated 21,Black,LeoMax,Void,Unterminated,0.6,41,74.9,3.6,0.7,1.8,65.6,w-dd56b5,2026-09-05T12:22:23.131361+00:00
Rated 20,White,CPAE,Win,Checkmate,0.6,36,79.4,5.8,0.5,2.2,58.6,w-fe39e1,2026-09-05T11:22:03.663802+00:00
Rated 19,Black,Team name,Win,Checkmate,0.6,16,22.1,3.0,0.6,1.4,105.9,w-fe39e1,2026-09-05T10:21:45.407793+00:00
Rated 18,Black,Fried Liver Defence,Win,Checkmate,0.5,26,28.9,2.5,0.5,1.1,104.1,w-c53946,2026-09-05T09:23:42.689684+00:00
Rated 17,White,Sweat,Win,Checkmate,0.5,28,34.9,3.8,0.4,1.2,99.1,w-d1da36,2026-09-05T08:23:29.066654+00:00
Rated 16,White,Surya prabha,Void,Unterminated,0.5,8,7.2,1.2,0.7,0.9,116.8,w-705ff3,2026-09-05T07:29:22.371551+00:00
Rated 15,Black,Chesstosterone,Void,Unterminated,0.5,47,58.4,3.4,0.5,1.2,85.1,w-2b4afc,2026-09-04T21:31:31.035619+00:00
Rated 14,White,0x88,Loss,Checkmate,0.5,43,53.1,3.0,0.4,1.2,88.4,w-940ac8,2026-09-04T20:29:28.388292+00:00
Rated 13,Black,PlayOps,Win,Checkmate,0.5,38,63.2,3.9,0.5,1.7,75.8,w-940ac8,2026-09-04T19:31:34.615704+00:00
Rated 12,Black,Egill40,Win,Checkmate,0.4,23,30.5,3.5,0.5,1.3,101.0,w-4e8c1d,2026-09-04T18:28:12.216037+00:00
Rated 11,White,Oxchess,Void,Unterminated,0.6,48,68.1,3.5,0.3,1.4,75.9,w-a99c3d,2026-09-04T17:28:28.457242+00:00
Rated 10,White,fm2,Win,Checkmate,0.6,33,45.0,3.5,0.5,1.4,91.5,w-2b4afc,2026-09-04T16:28:39.178758+00:00
Rated 9,Black,Blitz,Loss,Checkmate,,66,80.3,4.0,0.4,1.2,72.7,w-940ac8,2026-09-04T15:26:33.904321+00:00
Rated 8,Black,kronos,Win,Checkmate,,20,26.5,3.6,0.5,1.3,103.5,w-75c226,2026-09-04T14:45:43.376777+00:00
Rated 7,White,Minimax Three,Void,Unterminated,,26,43.0,4.0,0.4,1.7,90.0,w-a99c3d,2026-09-04T13:48:12.339365+00:00
Rated 6,White,Stockfish,Void,Unterminated,,46,54.1,3.4,0.5,1.2,88.9,w-a99c3d,2026-09-04T12:46:12.193108+00:00
Rated 5,Black,Tempo,Loss,Checkmate,,25,43.1,3.7,0.5,1.7,89.4,w-1af86c,2026-09-04T11:44:29.779973+00:00
Rated 4,White,Random Mover,Win,Checkmate,,39,75.9,3.9,0.4,1.9,63.6,w-2b4afc,2026-09-04T10:44:01.515688+00:00
Rated 3,Black,Minimax Two,Loss,Checkmate,,39,68.2,3.8,0.4,1.7,71.3,w-d5eece,2026-09-04T09:36:52.927104+00:00
Rated 2,Black,Clanfinn,Loss,Checkmate,,21,42.8,3.9,0.6,2.0,87.7,w-bf0e55,2026-09-04T08:32:00.042661+00:00
Rated 1,White,Elbow Grease,Loss,Checkmate,,19,42.9,4.0,0.5,2.3,86.6,w-909ade,2026-09-04T07:14:14.879415+00:00
